Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Fwd Header Len,Bwd Header Len,Pkt Len Mean,Pkt Len Std,Pkt Len Var
192.168.85.228-192.168.85.99-52778-53-6,192.168.85.228,52778,192.168.85.99,53,6,231409,5,6,43,236,41,0,8.6,18.13284313,235,0,39.33333333,95.85753318,1205.657515,47.53488412,100,144,23.25,67.70541136,4584.022727
192.168.85.228-192.168.85.99-52777-53-6,192.168.85.228,52777,192.168.85.99,53,6,232227,5,6,43,175,41,0,8.6,18.13284313,174,0,29.16666667,70.95468037,938.7366671,47.36744651,100,144,18.16666667,50.45399945,2545.606061
192.168.85.228-192.168.85.99-52776-53-6,192.168.85.228,52776,192.168.85.99,53,6,262368,5,6,43,187,41,0,8.6,18.13284313,186,0,31.16666667,75.85358704,876.6312965,41.92584462,100,144,19.16666667,53.82941631,2897.606061
192.168.85.228-192.168.85.99-52780-53-6,192.168.85.228,52780,192.168.85.99,53,6,243241,5,6,35,131,33,0,7,14.56021978,130,0,21.83333333,52.99213778,682.4507382,45.22263928,100,144,13.83333333,37.77645571,1427.060606
192.168.85.228-192.168.85.99-52781-53-6,192.168.85.228,52781,192.168.85.99,53,6,254278,5,6,35,125,33,0,7,14.56021978,124,0,20.83333333,50.5427212,629.2325722,43.25973934,100,144,13.33333333,36.10170818,1303.333333
192.168.85.228-192.168.85.99-52779-53-6,192.168.85.228,52779,192.168.85.99,53,6,255677,5,6,35,111,33,0,7,14.56021978,110,0,18.5,44.82744695,571.032983,43.02303297,100,144,12.16666667,32.2175371,1037.969697
192.168.85.228-192.168.85.99-52786-53-6,192.168.85.228,52786,192.168.85.99,53,6,196551,5,6,30,123,28,0,6,12.32882801,122,0,20.5,49.72625061,778.4239205,55.96511847,100,144,12.75,35.31964429,1247.477273
192.168.85.228-192.168.85.99-52785-53-6,192.168.85.228,52785,192.168.85.99,53,6,197465,5,6,30,46,28,0,6,12.32882801,45,0,7.666666667,18.29389698,384.8783329,55.70607449,100,144,6.333333333,14.56230085,212.0606061
192.168.85.228-192.168.85.99-52784-53-6,192.168.85.228,52784,192.168.85.99,53,6,346174,5,6,30,58,28,0,6,12.32882801,57,0,9.666666667,23.19195263,254.2074217,31.77592771,100,144,7.333333333,17.56201134,308.4242424
192.168.85.228-192.168.85.99-52827-53-6,192.168.85.228,52827,192.168.85.99,53,6,347617,5,6,50,139,48,0,10,21.26029163,138,0,23.16666667,56.25803646,543.7018328,31.64402201,100,144,15.75,40.87258472,1670.568182
192.168.85.228-192.168.85.99-52826-53-6,192.168.85.228,52826,192.168.85.99,53,6,349085,5,6,50,95,48,0,10,21.26029163,94,0,15.83333333,38.29577871,415.3716144,31.51095006,100,144,12.08333333,29.2215933,853.9015152
192.168.85.228-192.168.85.99-52825-53-6,192.168.85.228,52825,192.168.85.99,53,6,349804,5,6,50,107,48,0,10,21.26029163,106,0,17.83333333,43.19452126,448.8227693,31.44618129,100,144,13.08333333,32.32071763,1044.628788
192.168.85.228-192.168.85.99-52832-53-6,192.168.85.228,52832,192.168.85.99,53,6,214916,5,6,42,178,40,0,8.4,17.68615278,177,0,29.66666667,72.17940611,1023.655754,51.18278769,100,144,18.33333333,51.25751977,2627.333333
192.168.85.228-192.168.85.99-52831-53-6,192.168.85.228,52831,192.168.85.99,53,6,220338,5,6,42,149,40,0,8.4,17.68615278,148,0,24.83333333,60.34042316,866.8500213,49.92329966,100,144,15.91666667,43.13711402,1860.810606
