"Flow ID","Src IP","Src Port","Dst IP","Dst Port","Protocol","Flow Duration","Tot Fwd Pkts","Tot Bwd Pkts","TotLen Fwd Pkts","TotLen Bwd Pkts","Fwd Pkt Len Max","Fwd Pkt Len Min","Fwd Pkt Len Mean","Fwd Pkt Len Std","Bwd Pkt Len Max","Bwd Pkt Len Min","Bwd Pkt Len Mean","Bwd Pkt Len Std","Flow Byts/s","Flow Pkts/s","Fwd Header Len","Bwd Header Len","Pkt Len Mean","Pkt Len Std","Pkt Len Var","Label"
"172.31.69.25-18.219.193.20-80-44830-6","18.219.193.20","44830","172.31.69.25","80","6","2364","1","1","0","0","0","0","0","0","0","0","0","0","0","846.0236887","32","32","0","0","0","1"
"172.31.69.25-18.219.193.20-80-42224-6","172.31.69.25","80","18.219.193.20","42224","6","4762986","4","5","935","694","935","0","233.75","467.5","347","0","138.8","190.0597275","342.0123427","1.889570954","136","168","162.9","307.2600961","94408.76667","1"
"172.31.69.25-18.219.193.20-80-60094-6","18.219.193.20","60094","172.31.69.25","80","6","281","1","1","0","0","0","0","0","0","0","0","0","0","0","7117.437722","32","32","0","0","0","1"
"172.31.69.25-18.219.193.20-80-58478-6","18.219.193.20","58478","172.31.69.25","80","6","45434","1","1","0","0","0","0","0","0","0","0","0","0","0","44.01989699","32","32","0","0","0","1"
"172.31.69.25-18.219.193.20-80-43736-6","18.219.193.20","43736","172.31.69.25","80","6","1104","1","1","0","0","0","0","0","0","0","0","0","0","0","1811.594203","32","32","0","0","0","1"
"172.31.69.25-18.219.193.20-80-47818-6","172.31.69.25","80","18.219.193.20","47818","6","4456085","4","5","935","744","935","0","233.75","467.5","372","0","148.8","203.7527914","376.7881448","2.019710127","136","168","167.9","310.7497922","96565.43333","1"
"172.31.69.25-18.219.32.43-80-49960-6","18.219.32.43","49960","172.31.69.25","80","6","18006444","2","0","0","0","0","0","0","0","0","0","0","0","0","0.111071348","40","0","0","0","0","1"
"172.31.69.25-18.219.193.20-80-35506-6","172.31.69.25","80","18.219.193.20","35506","6","4894785","4","6","935","1167","935","0","233.75","467.5","389","0","194.5","213.0640749","429.4366351","2.042990652","136","200","191.0909091","304.3870741","92651.49091","1"
"172.31.69.28-52.14.136.135-80-57186-6","52.14.136.135","57186","172.31.69.28","80","6","6883","1","1","0","0","0","0","0","0","0","0","0","0","0","290.570972","20","20","0","0","0","1"
"172.31.69.25-18.219.193.20-80-55482-6","18.219.193.20","55482","172.31.69.25","80","6","24344","1","1","0","0","0","0","0","0","0","0","0","0","0","82.15576733","32","32","0","0","0","1"
"172.31.69.25-18.218.55.126-80-56314-6","18.218.55.126","56314","172.31.69.25","80","6","38104228","2","0","0","0","0","0","0","0","0","0","0","0","0","0.052487614","40","0","0","0","0","1"
"172.31.69.25-18.219.193.20-80-36788-6","172.31.69.25","80","18.219.193.20","36788","6","4434241","4","4","935","323","935","0","233.75","467.5","323","0","80.75","161.5","283.7013144","1.804141904","136","136","139.7777778","316.7636255","100339.1944","1"
"172.31.69.28-18.219.9.1-80-56704-6","172.31.69.28","80","18.219.9.1","56704","6","37314","4","3","935","336","935","0","233.75","467.5","336","0","112","193.9896904","34062.28225","187.5971485","92","72","158.875","334.918087","112170.125","1"
"172.31.69.28-18.219.5.43-80-58579-6","18.219.5.43","58579","172.31.69.28","80","6","5316","1","1","0","0","0","0","0","0","0","0","0","0","0","376.2227239","20","20","0","0","0","1"
"172.31.69.28-18.218.229.235-80-53456-6","172.31.69.28","80","18.218.229.235","53456","6","1184","4","3","935","314","935","0","233.75","467.5","314","0","104.6666667","181.2879845","1054898.649","5912.162162","92","72","156.125","333.3425683","111117.2679","1"
